Name ,Price,Count,Positive Review,Negative Review,Detailed Review Text,Review 2,Review 3,Review 4,Key Features 
"Colgate Visible White Purple Toothpaste For Teeth Whitening, Teeth Whitening Toothpaste With Fluoride, Whitens Yellow Teeth, Enamel-Safe For Daily Use Toothpaste (Combo Pack, 200G + 40G)",278,59,51,8," Customers like the whitening effect of the toothpaste. They mention their teeth look whiter already and it keeps their breath fresh for hours. The whitening effect is noticeable within a few uses, and they're convinced that the results from a purple toothpaste are real. "," It works wonder on my teeth. Making them visible whiter after a week. It gives a refreshing, minty taste....  ", Iska after taste bhi kafi achcha h . Teeth bhi jyada white aur clean ho jate hai .  , Its aftertaste is also quite good. Teeth also become whiter and cleaner,Whitening effect
"Colgate Visible White Purple Toothpaste For Teeth Whitening, Teeth Whitening Toothpaste With Fluoride, Whitens Yellow Teeth, Enamel-Safe For Daily Use Toothpaste (Combo Pack, 200G + 40G)",278,46,35,11," Customers appreciate the quality of the toothpaste. They find it effective in whitening teeth, with nice results and good results for kids. The paste has a pleasant smell and is strong. ", for hours. Great product!  ," This is a good toothpaste, it helped a lot in whitening the teeth😄...  "," Best result,",Quality
"Colgate Visible White Purple Toothpaste For Teeth Whitening, Teeth Whitening Toothpaste With Fluoride, Whitens Yellow Teeth, Enamel-Safe For Daily Use Toothpaste (Combo Pack, 200G + 40G)",278,33,24,9, Customers like the toothpaste's effectiveness. They say it works well and makes their teeth whiter after a week of use. ," It works wonder on my teeth. Making them visible whiter after a week. It gives a refreshing, minty taste....  "," Immediate results can be observed. If you're using it for the first time, taste might be little bit odd, but will get used to it.  ", Not effective as per mention from 1st wash,Effectiveness
"Colgate Visible White Purple Toothpaste For Teeth Whitening, Teeth Whitening Toothpaste With Fluoride, Whitens Yellow Teeth, Enamel-Safe For Daily Use Toothpaste (Combo Pack, 200G + 40G)",278,24,24,0, Customers like the color of the tooth cleaning agent. They say it adds a fun element to brushing and makes it more enjoyable. The whitening effects are visible within a few days. ," It gives a refreshing, minty taste. The fun purple colour makes brushing more enjoyable, and no more yellow teeth  "," I got this from Amazon, and the purple foam really makes brushing enjoyable. My...  "," The purple foam is fun, and the whitening effect is real! My teeth are noticeably brighter, and my breath stays fresh longer than I expected.",Color
"Colgate Visible White Purple Toothpaste For Teeth Whitening, Teeth Whitening Toothpaste With Fluoride, Whitens Yellow Teeth, Enamel-Safe For Daily Use Toothpaste (Combo Pack, 200G + 40G)",278,17,17,0, Customers enjoy the minty taste that lasts all day. They appreciate how fresh their breath feels after brushing with this product. , It really works keep ur mouth whole day fresh good product  ," My teeth are noticeably brighter, and my breath stays fresh longer than I expected.  "," It keeps my breath fresh for hours, which is a huge plus!",Breath freshness
"Colgate Visible White Purple Toothpaste For Teeth Whitening, Teeth Whitening Toothpaste With Fluoride, Whitens Yellow Teeth, Enamel-Safe For Daily Use Toothpaste (Combo Pack, 200G + 40G)",278,17,15,2, Customers enjoy the refreshing minty taste of the tooth cleaning product. ," Making them visible whiter after a week. It gives a refreshing, minty taste....  ", Iska after taste bhi kafi achcha h . Teeth bhi jyada white aur clean ho jate hai .  , Its aftertaste is also quite good. Teeth also become whiter and cleaner,Taste
"Colgate Visible White Purple Toothpaste For Teeth Whitening, Teeth Whitening Toothpaste With Fluoride, Whitens Yellow Teeth, Enamel-Safe For Daily Use Toothpaste (Combo Pack, 200G + 40G)",278,15,15,0, Customers appreciate the freshness of the tooth cleaning agent. They mention it leaves a minty taste that lasts all day. ," Making them visible whiter after a week. It gives a refreshing, minty taste....  ", I love the smell and after using it the refreshment is the best.  ," is so fun, and my teeth are already looking much whiter. The minty freshness is a huge bonus!",Freshness
"Colgate Visible White Purple Toothpaste For Teeth Whitening, Teeth Whitening Toothpaste With Fluoride, Whitens Yellow Teeth, Enamel-Safe For Daily Use Toothpaste (Combo Pack, 200G + 40G)",278,18,9,9," Customers have different views on the value for money of the tooth cleaning product. Some find it worth the price and hype, while others consider it a waste of money. ", hope it will wirk after few brush. okay at the price range  , It just imagination waste of money for teeth shining  , definitely value for money. The feel is very good after brushing the teeth and it is hundred percent effective also very good,Value for money
"Colgate Visible White Toothpaste, Teeth Whitening Starts in 1 week, Safe on Enamel, Stain Removal Tooth Paste and Minty Flavour for Fresh Breath (200g + 40g, Combo Pack)",243,55,47,8, Customers like the product's effectiveness. They say it works well and is a quality product. Some customers mention it works like regular toothpaste. , Product is good and effective  , Good result buy best one.  , It really works . Quality product . Taste is good for all age groups . Recommended.,Effectiveness
"Colgate Visible White Toothpaste, Teeth Whitening Starts in 1 week, Safe on Enamel, Stain Removal Tooth Paste and Minty Flavour for Fresh Breath (200g + 40g, Combo Pack)",243,31,27,4, Customers appreciate the whitening effect of the toothpaste. They report that regular brushing helps whiten their teeth. , Welknown brand really makes your teeth visibily white and freshens your breath.  , Best whitening toothpaste . Remove yellow colour after 2 weeks  , my teeth getting brighter day by day . Mint flavour is so refreshing. I feel very fresh after brushing. Completely removes bad breath too,Whitening ability
